"country","temps","index","VA","Emploi","W","Productivite","LAB","chomage","pop","export","VA_pop","Part_lab","var","value","rate2010 in NAT/US$","Invest_pop","Emploi_scale"
"405","SVN",2013,21,31294.2,926.7,14.7630675242839,101.988896420595,23184.8387913108,10.1020002365112,2059953,24034.1631892309,0.00977687226359075,0.740866959095001,"Iq_GFCF",6908.1845703125,0.754309,0.00335356416884876,-0.45057957806306
"406","SVK",2013,22,67521.9,2192.25,8.48179579155001,107.094176240327,34131.8307021797,14.2209997177124,5413393,25648.1131951314,0.0030546133877461,0.505492746829987,"Iq_GFCF",15153.2529296875,0.754309,0.00279921537743288,-0.407972776232171
"407","GBR",2013,23,1573223,30042.22,19.6446697819042,99.0677198053539,1039654.64917046,7.52500009536743,64128273,12988.0453133399,0.000591107924616242,0.660843789577484,"Iq_GFCF",265567,0.647179,0.00414118434157739,0.529641820414501
"408","USA",2013,24,16565951,148938.265625,35.0312694355557,100.465385437012,9255202,7.375,315993715,7621.49799534775,0.000165905003084716,0.558688239510065,"Iq_GFCF",3035452.25,1,0.00960605260772354,4.53247083105863
"409","AUT",2014,1,297230.2,4259.9,25.9309971559575,103.444808827441,192944.029846346,5.61999988555908,8546356,28388.5002492248,0.00539487871155147,0.649140059947968,"Iq_GFCF",69565.0390625,0.754309,0.00813973102249661,-0.338361971597319
"410","BGR",2014,2,72731.7,3434.18,7.62183620870534,108.614409671296,46529.3380314052,11.423999786377,7223938,12139.9120551671,0.000943365470134206,0.639739453792572,"Iq_GFCF",16757.30859375,1.477392,0.00231969164100661,-0.366161180168929
"411","CYP",2014,3,15445.4,362.7,14.3552237440517,104.732525798705,9375.75908615589,16.0879993438721,1152285,16165.1524139246,0.0154216219891352,0.607025980949402,"Iq_GFCF",2035.04907226562,0.754309,0.00176609872754191,-0.469567556596205
"412","CZE",2014,4,3898599,5108.97,220.453497585874,104.338720681374,2092107.40703541,6.10799980163574,10525347,28289.2837872406,0.00184264701455069,0.536630570888519,"Iq_GFCF",1056049,19.09825,0.100333889229495,-0.309776647247785
"413","DEU",2014,5,2646444,42671,28.0177432454942,104.617957686865,1740437.19299483,4.98099994659424,80982500,23293.1922163669,0.000534972009448657,0.657651245594025,"Iq_GFCF",566008.5625,0.754309,0.00698927005834594,0.954810266407066
"414","DNK",2014,6,1718979,2791,265.698327286931,104.819178149241,1105592.75060695,6.58900022506714,5643475,28507.5040810785,0.00959679585562196,0.643168270587921,"Iq_GFCF",361846.4375,5.624075,0.0641176646481113,-0.387814882355007
"415","EST",2014,7,17496.7,609.86,7.77762001491008,110.400288173349,10227.1613890111,7.35200023651123,1314545,24949.1138465053,0.0134181087369317,0.584519445896149,"Iq_GFCF",4678.73095703125,0.754595,0.00355920182042551,-0.461246512670226
"416","GRC",2014,8,157913,4034.84,12.1718729588949,97.0330747439437,94289.4035794735,26.4909992218018,10892413,9061.12875727186,0.00176449484990676,0.597097158432007,"Iq_GFCF",21087.11328125,0.754309,0.00193594507307518,-0.34593898303113
"417","ESP",2014,9,944470,18039.2,19.4456325834269,105.765744887134,589261.92263186,24.4409999847412,46480882,12057.3039213187,0.000579548995243199,0.623907506465912,"Iq_GFCF",214052.449987176,0.754309,0.00460517186371756,0.125540603937717
"418","FIN",2014,10,176987,2507.5,26.6488965598315,99.4222558546323,120102.663197339,8.66300010681152,5461512,16372.2092017005,0.00786622372123197,0.678595960140228,"Iq_GFCF",38694.16015625,0.754309,0.00708488055253747,-0.397359371564487
"419","FRA",2014,11,1927230,27334,31.5817715795258,104.203476814206,1343054.44236159,10.2919998168945,66312067,12824.1523222693,0.000581030763142595,0.696883320808411,"Iq_GFCF",447731.53125,0.754309,0.00675188621778296,0.438465183494229
